10 2
174 1 0
56 2 0
85 3 0
91 4 0
100 5 0
180 6 0
65 7 0
155 8 0
177 9 0
176 10 0
7 1 8 0
14 1 9 0
5 2 1 0
3 2 10 0
11 3 1 0
5 3 2 0
6 3 4 0
5 3 6 0
5 3 8 0
6 3 9 0
10 3 10 0
11 4 1 0
7 4 3 0
6 4 6 0
9 4 9 0
6 5 1 0
8 5 6 0
8 5 7 0
6 5 9 0
12 5 10 0
8 6 3 0
8 6 4 0
23 6 10 0
11 7 1 0
8 7 5 0
3 7 9 0
7 7 10 0
5 8 2 0
15 8 6 0
8 8 7 0
8 9 3 0
17 9 6 0
10 9 8 0
11 10 1 0
12 10 2 0
5 10 3 0
7 10 5 0
20 10 6 0
11 10 7 0
13 10 9 0
8 1 2 0
13 1 4 0
10 1 7 0
7 1 10 0
153 6 10 1 0
41 6 10 2 0
44 6 10 3 0
71 6 10 4 0
77 6 10 5 0
95 6 10 7 0
153 6 10 8 0
144 6 10 9 0
8 7 6 0
6 7 8 0
16 7 1 2 0
23 7 1 3 0
38 7 1 4 0
32 7 1 5 0
43 7 1 6 0
39 7 1 8 0
28 7 1 9 0
34 7 1 10 0
1 7 2 0
17 7 2 1 0
7 7 2 3 0
14 7 2 4 0
18 7 2 5 0
9 7 2 6 0
16 7 2 8 0
15 7 2 9 0
10 7 2 10 0
1 7 3 0
17 7 3 1 0
15 7 3 2 0
20 7 3 4 0
23 7 3 5 0
22 7 3 6 0
27 7 3 8 0
26 7 3 9 0
25 7 3 10 0
3 7 4 0
45 7 4 1 0
8 7 4 2 0
23 7 4 3 0
39 7 4 5 0
36 7 4 6 0
36 7 4 8 0
23 7 4 9 0
26 7 4 10 0
32 7 5 1 0
14 7 5 2 0
21 7 5 3 0
34 7 5 4 0
56 7 5 6 0
56 7 5 8 0
30 7 5 9 0
54 7 5 10 0
48 7 6 1 0
21 7 6 2 0
29 7 6 3 0
41 7 6 4 0
52 7 6 5 0
75 7 6 8 0
54 7 6 9 0
59 7 6 10 0
58 7 8 1 0
18 7 8 2 0
24 7 8 3 0
29 7 8 4 0
56 7 8 5 0
63 7 8 6 0
46 7 8 9 0
58 7 8 10 0
24 7 9 1 0
20 7 9 2 0
18 7 9 3 0
20 7 9 4 0
25 7 9 5 0
43 7 9 6 0
36 7 9 8 0
54 7 9 10 0
39 7 10 1 0
28 7 10 2 0
20 7 10 3 0
28 7 10 4 0
37 7 10 5 0
45 7 10 6 0
54 7 10 8 0
59 7 10 9 0
8 8 1 0
2 8 4 0
8 8 9 0
11 8 10 0
27 8 1 2 0
30 8 1 3 0
59 8 1 4 0
57 8 1 5 0
85 8 1 6 0
60 8 1 7 0
44 8 1 9 0
52 8 1 10 0
18 8 2 1 0
10 8 2 3 0
18 8 2 4 0
10 8 2 5 0
22 8 2 6 0
17 8 2 7 0
29 8 2 9 0
20 8 2 10 0
3 8 3 0
38 8 3 1 0
22 8 3 2 0
41 8 3 4 0
24 8 3 5 0
42 8 3 6 0
30 8 3 7 0
33 8 3 9 0
45 8 3 10 0
87 8 4 1 0
18 8 4 2 0
42 8 4 3 0
36 8 4 5 0
64 8 4 6 0
48 8 4 7 0
41 8 4 9 0
70 8 4 10 0
2 8 5 0
38 8 5 1 0
13 8 5 2 0
20 8 5 3 0
42 8 5 4 0
49 8 5 6 0
59 8 5 7 0
22 8 5 9 0
45 8 5 10 0
69 8 6 1 0
20 8 6 2 0
36 8 6 3 0
54 8 6 4 0
56 8 6 5 0
82 8 6 7 0
75 8 6 9 0
69 8 6 10 0
63 8 7 1 0
20 8 7 2 0
35 8 7 3 0
54 8 7 4 0
72 8 7 5 0
71 8 7 6 0
63 8 7 9 0
67 8 7 10 0
42 8 9 1 0
27 8 9 2 0
28 8 9 3 0
44 8 9 4 0
34 8 9 5 0
67 8 9 6 0
49 8 9 7 0
69 8 9 10 0
72 8 10 1 0
37 8 10 2 0
69 8 10 3 0
142 8 10 4 0
68 8 10 5 0
101 8 10 6 0
88 8 10 7 0
76 8 10 9 0
11 9 1 0
13 9 2 0
4 9 4 0
15 9 7 0
20 9 10 0
29 9 1 2 0
31 9 1 3 0
53 9 1 4 0
29 9 1 5 0
53 9 1 6 0
34 9 1 7 0
46 9 1 8 0
52 9 1 10 0
42 9 2 1 0
36 9 2 3 0
20 9 2 4 0
26 9 2 5 0
39 9 2 6 0
30 9 2 7 0
39 9 2 8 0
75 9 2 10 0
25 9 3 1 0
15 9 3 2 0
28 9 3 4 0
19 9 3 5 0
39 9 3 6 0
30 9 3 7 0
32 9 3 8 0
53 9 3 10 0
37 9 4 1 0
23 9 4 2 0
24 9 4 3 0
15 9 4 5 0
36 9 4 6 0
43 9 4 7 0
32 9 4 8 0
35 9 4 10 0
1 9 5 0
14 9 5 1 0
14 9 5 2 0
15 9 5 3 0
17 9 5 4 0
27 9 5 6 0
36 9 5 7 0
24 9 5 8 0
38 9 5 10 0
59 9 6 1 0
37 9 6 2 0
39 9 6 3 0
45 9 6 4 0
40 9 6 5 0
72 9 6 7 0
91 9 6 8 0
111 9 6 10 0
41 9 7 1 0
25 9 7 2 0
23 9 7 3 0
27 9 7 4 0
38 9 7 5 0
58 9 7 6 0
51 9 7 8 0
65 9 7 10 0
59 9 8 1 0
33 9 8 2 0
31 9 8 3 0
30 9 8 4 0
35 9 8 5 0
70 9 8 6 0
60 9 8 7 0
78 9 8 10 0
74 9 10 1 0
63 9 10 2 0
55 9 10 3 0
45 9 10 4 0
48 9 10 5 0
108 9 10 6 0
77 9 10 7 0
103 9 10 8 0
5 10 4 0
16 10 8 0
42 10 1 2 0
56 10 1 3 0
66 10 1 4 0
41 10 1 5 0
91 10 1 6 0
72 10 1 7 0
94 10 1 8 0
85 10 1 9 0
37 10 2 1 0
17 10 2 3 0
27 10 2 4 0
20 10 2 5 0
27 10 2 6 0
21 10 2 7 0
23 10 2 8 0
44 10 2 9 0
40 10 3 1 0
25 10 3 2 0
33 10 3 4 0
23 10 3 5 0
44 10 3 6 0
39 10 3 7 0
49 10 3 8 0
53 10 3 9 0
57 10 4 1 0
29 10 4 2 0
39 10 4 3 0
41 10 4 5 0
66 10 4 6 0
55 10 4 7 0
61 10 4 8 0
41 10 4 9 0
35 10 5 1 0
16 10 5 2 0
21 10 5 3 0
36 10 5 4 0
60 10 5 6 0
54 10 5 7 0
61 10 5 8 0
47 10 5 9 0
128 10 6 1 0
44 10 6 2 0
45 10 6 3 0
66 10 6 4 0
83 10 6 5 0
99 10 6 7 0
106 10 6 8 0
104 10 6 9 0
77 10 7 1 0
30 10 7 2 0
39 10 7 3 0
52 10 7 4 0
61 10 7 5 0
63 10 7 6 0
81 10 7 8 0
97 10 7 9 0
68 10 8 1 0
34 10 8 2 0
66 10 8 3 0
89 10 8 4 0
56 10 8 5 0
89 10 8 6 0
81 10 8 7 0
112 10 8 9 0
68 10 9 1 0
44 10 9 2 0
50 10 9 3 0
45 10 9 4 0
48 10 9 5 0
92 10 9 6 0
62 10 9 7 0
103 10 9 8 0
0
"Josh Caswell"
"Sterling Archer"
"Travis J"
"Makoto"
"Machavity"
"Baum mit Augen"
"Makyen"
"coldspeed"
"Zoe"
"Jean-François Fabre"
"Stack Overflow Moderator Election 2019"
